Use Case,Prompt,Category,Tool Compatibility,Prompt Type,Description/Notes,Tab
Creating crisis management funnel for reputation recovery,"Design a crisis response funnel for reputation management and customer recovery:

1. Crisis identification:
   - Monitoring systems for negative sentiment
   - Trigger thresholds for activation
   - Crisis categorization (severity levels)
   - Response team and protocols

2. Immediate response:
   - Acknowledgment messaging
   - Transparency and honesty approach
   - Action plan communication
   - Channel selection and coordination

3. Recovery funnel:
   - Affected customer identification
   - Personalized outreach and compensation
   - Trust rebuilding content
   - Positive story amplification

4. Prevention systems:
   - Regular reputation monitoring
   - Proactive issue resolution
   - Customer satisfaction improvements
   - Crisis simulation and preparation

Provide crisis response playbook, message templates, and monitoring dashboard. Include case studies of successful crisis management.",Reputation Management,"ChatGPT, Mention, Brandwatch, Zendesk",Strategy,"Prepares for and responds to reputation crises that can damage funnel performance. Quick, transparent response can minimize damage and even strengthen brand. Essential insurance policy for digital businesses.",💎 UI/UX Excellence
Designing a mobile-first responsive homepage with optimal touch targets,"Create a fully responsive, mobile-first homepage that adapts seamlessly across all breakpoints. Design specifications: (1) Mobile layout (320px-767px): Single column, 44px minimum touch target size, thumb-zone optimized navigation, sticky header with hamburger menu, (2) Tablet layout (768px-1023px): Two-column grid with flexible images, (3) Desktop layout (1024px+): Multi-column with max-width container. Implement: Front-loaded key navigation elements, simplified mobile typography (16px body minimum for readability), optimized images with lazy loading, reduced animations on mobile for performance, easily tappable CTAs with adequate spacing (minimum 8px between elements). Use CSS Grid and Flexbox for fluid responsiveness. Test at breakpoints: 375px, 768px, 1024px, 1440px. Prioritize core web vitals: LCP under 2.5s, FID under 100ms.",Responsive & Mobile-First Design,"Lovable, Replit, ChatGPT, v0, Bolt",Design,Implements mobile-first design principles that can increase mobile transactions by 29% (Cocohanee case study). Follows Awwwards Mobile Excellence criteria requiring 70%+ mobile usability scores and ensures accessibility across all devices.,✨ Award-Winning Homepage Designs
Responsive design implementation,"Make this design mobile-responsive using Tailwind CSS breakpoints:
- Mobile (< 640px): Stack elements vertically
- Tablet (640px - 1024px): 2-column grid
- Desktop (> 1024px): 3-column grid

Ensure touch targets are at least 44px. Test with Chrome DevTools.",Responsive Design,All tools,No Training Wheels,Mobile-first responsive design prompt with specific breakpoints. Include accessibility requirements like minimum touch target sizes.,💎 UI/UX Excellence
Creating retargeting campaign for funnel drop-offs,"Design a multi-channel retargeting strategy for users who dropped off at [funnel stage]. Include:

1. Segmentation:
   - Define audience segments based on behavior
   - Create custom audiences for each drop-off point
   - Prioritize by likelihood to convert

2. Campaign structure:
   - Facebook/Instagram ad sequences (3-5 ads)
   - Google Display Network remarketing
   - Email win-back campaigns
   - SMS retargeting (if applicable)

3. Creative strategy:
   - Ad copy addressing specific objections
   - Visual concepts and formats
   - Offer/incentive recommendations
   - Frequency and timing guidelines

4. Technical setup:
   - Pixel implementation code
   - Audience creation steps
   - Budget allocation recommendations
   - Success metrics and optimization triggers

Provide campaign examples for 3 different drop-off scenarios. Include cost projections and ROI targets.",Retention & Re-engagement,"ChatGPT, Facebook Ads, Google Ads, Klaviyo",Strategy,Creates targeted campaigns to recover lost prospects at various funnel stages. Addresses specific objections and provides incentives for return. Can recover 15-30% of abandoned conversions.,🎨 Visual Design & Modern Aesthetics
Building community-driven funnel for brand loyalty,"Design a community-centric funnel that builds brand loyalty and reduces churn:

1. Community structure:
   - Onboarding to community (post-purchase)
   - Engagement mechanisms (discussions, events)
   - Gamification and rewards
   - User-generated content encouragement

2. Integration with funnel:
   - Community as retention tool
   - Member referral incentives
   - Exclusive community offers
   - Early access and beta testing

3. Platform strategy:
   - Platform selection (Facebook Group, Discord, Circle, custom)
   - Moderation and management plan
   - Content calendar for community
   - Success metrics and KPIs

4. Monetization:
   - Premium community tiers
   - Community-exclusive products
   - Upsell opportunities within community
   - Advocacy and ambassador programs

Provide community guidelines, engagement strategies, and funnel integration points. Target: 30%+ increase in customer lifetime value.",Retention & Re-engagement,"ChatGPT, Discord, Circle, Slack",Strategy,"Creates engaged community that drives retention, referrals, and repeat purchases. Transforms customers into brand advocates. Reduces churn by 25-40% and increases LTV significantly.",💎 UI/UX Excellence
SEO implementation,"Add SEO optimization to this page:
- Dynamic meta tags (title, description, OG tags)
- Structured data for [type]
- Semantic HTML elements
- Alt text for all images
- Proper heading hierarchy (h1-h6)
- XML sitemap integration

Use Next.js metadata API or React Helmet.",SEO & Accessibility,"Lovable, Cursor, Bolt.new",Training Wheels,"Comprehensive SEO prompt covering meta tags, structured data, and semantic HTML. Specify the framework for framework-specific implementations.",💎 UI/UX Excellence
SEO sitemap,"Create a sitemap generator:
- Generate XML sitemap of all pages
- Update automatically on content changes
- Include priority and change frequency
- Split large sitemaps
- Submit to search engines
- Generate robots.txt

Exclude admin and private pages.",SEO & Accessibility,"Cursor, Replit, Windsurf",Training Wheels,SEO sitemap generation. Automate updates when pages are added or modified.,💎 UI/UX Excellence
Building a product-focused SaaS homepage with feature highlights,"Design a conversion-optimized SaaS homepage that clearly communicates product value. Page structure: (1) Above-fold hero: Product screenshot or demo GIF showing key interface, Benefit-driven headline (not feature list), 'Start Free Trial' CTA with no credit card required message, Trusted by logos of recognized brands, (2) Feature sections: 3-4 key features with icons, titles, descriptions, Each feature with supporting visual (screenshot, diagram, or illustration), Alternating left-right layout for visual variety, (3) How it works: 3-step process with numbered steps, Simple illustrations or icons, Progression arrows connecting steps, (4) Social proof section: Customer testimonials with specific metrics, Star rating with review count, ROI calculator or savings estimator, (5) Pricing preview: Simple tier comparison (Starter, Pro, Enterprise), Highlight most popular tier, Link to full pricing page, (6) FAQ section: 5-8 common objections addressed, Accordion format to save space. Include live demo or product tour CTA.",SaaS & Product Design,"Lovable, Replit, ChatGPT, v0, Bolt",Strategy,Creates high-converting SaaS homepages following proven patterns from successful products. Clear product communication and social proof can increase trial sign-ups by 40%+. Based on analysis of top SaaS homepages.,✨ Award-Winning Homepage Designs
Creating SaaS free trial funnel with activation focus,"Design a free trial funnel for [SaaS product] optimized for activation and conversion:

1. Trial signup:
   - Frictionless signup (no credit card vs credit card required)
   - Trial length optimization (7, 14, or 30 days)
   - Feature access strategy (full vs limited)
   - Onboarding questionnaire

2. Activation sequence:
   - Welcome email with quick wins
   - In-app onboarding tour
   - Time-to-value optimization
   - Success milestone tracking

3. Nurture during trial:
   - Educational email sequence
   - Feature spotlight messages
   - Use case examples
   - Success team touchpoints

4. Conversion optimization:
   - Upgrade prompts and timing
   - Trial expiration strategy
   - Discount offers for immediate upgrade
   - Post-trial follow-up sequence

Provide complete trial funnel documentation, email sequences, and in-app messaging. Target: 15-25% trial-to-paid conversion rate.",SaaS Funnel,"ChatGPT, Lovable, Replit, Intercom",Strategy,Optimizes SaaS trial experience for maximum activation and conversion. Focuses on demonstrating value quickly. Proper trial funnel can double conversion rates from industry averages.,💎 UI/UX Excellence
Building a homepage with advanced search functionality and filters,"Design a powerful search interface that helps users find content quickly. Search components: (1) Search input: Prominent search bar in header or hero section, Magnifying glass icon, Placeholder text ('Search products, articles...'), Click to expand (if space-constrained), Keyboard shortcut (Cmd+K or Ctrl+K), (2) Search features: Autocomplete suggestions as user types, Search history (recent searches), Popular/trending searches, Typo tolerance and fuzzy matching, Category filters (Articles, Products, Pages), (3) Results display: Search results page or modal overlay, Highlighted search terms in results, Result previews (title, excerpt, image), Filter/sort options on results page, Faceted search (filter by category, date, price), Results count ('54 results for 'design''), Pagination or infinite scroll, (4) Advanced search: Boolean operators support (AND, OR, NOT), Filter by date ranges, Price range sliders for e-commerce, Multi-select category filters, 'Save search' or alert option, (5) Mobile optimization: Full-screen search modal on mobile, Voice search option, Recent searches for easy access. Use search analytics to improve results. Implement search API (Algolia, Elasticsearch). Show 'no results' page with alternatives.",Search & Discovery,"Lovable, Replit, ChatGPT, Cursor",Design,Implements powerful search that improves content discovery and user satisfaction. Good search can increase conversions by 50% on content-heavy or e-commerce sites. Essential for large catalogs and knowledge bases.,✨ Award-Winning Homepage Designs
API rate limiting,"Implement rate limiting:
- Limit API requests per user/IP
- Return 429 status with retry-after
- Different limits for auth/unauth users
- Time-window based (per minute/hour)
- Dashboard to monitor limits
- Whitelist certain IPs

Use Redis for distributed limiting.",Security,"Cursor, Replit, Windsurf",Training Wheels,Rate limiting for API protection. Essential for preventing abuse and ensuring fair usage.,📊 Dashboard & Admin Panels
Content moderation,"Implement content filtering:
- Profanity filter
- Spam detection
- Moderate user-generated content
- Blocklist/allowlist words
- Report abuse mechanism
- Admin review queue

Use AI moderation API or rule-based.",Security,"Cursor, Replit, Windsurf",Training Wheels,Automated content moderation. Combine automated filtering with human review for best results.,📊 Dashboard & Admin Panels
Integrating social proof and testimonials for credibility boost,"Design a compelling social proof section that builds trust and drives conversions. Components: (1) Testimonial cards: Include authentic customer photo (not stock), full name and title/company, specific outcome or metric ('increased sales by 40%'), 3-4 lines of detailed feedback, 5-star rating displayed prominently, (2) Layout options: Carousel with auto-rotate (5s intervals) and manual controls, Masonry grid for varied testimonial lengths, Video testimonials with play buttons, (3) Strategic placement: Near primary CTA, after key features, in dedicated section mid-page, (4) Additional social proof: Customer logos in a separate 'Trusted by' section, Real-time notification popup ('John from NYC just signed up'), Total user count or satisfaction metric ('4.9/5 stars from 10,000+ reviews'), Case study preview cards with 'Read Full Story' links. Ensure testimonials feel authentic (avoid overly polished language). Link to third-party review sites like G2, Trustpilot for verification.",Social Proof & Testimonials,"Lovable, Replit, ChatGPT, Cursor, v0",Design,Leverages social proof to reduce purchase anxiety and increase conversions. Testimonials can increase conversion rates by 34% when displayed prominently with specific outcomes. Based on research from VWO and conversion optimization studies.,💎 UI/UX Excellence
Designing subscription box funnel with retention focus,"Create a subscription funnel for [product category] optimized for retention:

1. Acquisition funnel:
   - Quiz for personalization
   - Trial offer structure
   - Onboarding sequence
   - First box experience optimization

2. Retention strategies:
   - Skip/pause options to reduce churn
   - Customization and flexibility
   - Surprise and delight elements
   - Regular communication and engagement

3. Monetization:
   - Upsell opportunities (add-ons, upgrades)
   - Gift subscriptions
   - Referral incentives
   - Annual plan conversions

4. Churn prevention:
   - At-risk customer identification
   - Win-back campaigns
   - Cancellation flow optimization (save offers)
   - Feedback collection and action

Provide complete funnel documentation, email sequences, and retention playbook. Target: <5% monthly churn rate.",Subscription & Recurring Revenue,"ChatGPT, ReCharge, Lovable, Klaviyo",Strategy,Builds sustainable subscription business with focus on long-term retention. Addresses unique challenges of recurring revenue model. Proper retention strategies can increase LTV by 3-5x.,💎 UI/UX Excellence
Creating a homepage with integrated live chat or chatbot,"Design an effective live chat interface that provides instant support and improves conversions. Chat components: (1) Chat trigger: Floating button in bottom-right corner, Brand-colored circle with chat icon, Unread message indicator badge, Collapse/expand animation, Optional proactive message after X seconds, (2) Chat window: Slides up from trigger button, Header with agent name/photo or chatbot name, Chat history area with scroll, Message input field at bottom, Typing indicators ('Agent is typing...'), Timestamp on messages, (3) User experience: Greeting message on open, Quick reply buttons for common questions, File/image upload capability, Emoji support, Chat transcript option (email on close), Offline message form when unavailable, Mobile: Full-screen chat on small devices, (4) Visual design: Brand colors for agent messages, User messages in contrasting color, Avatar icons for participants, Smooth message animations, 'Sound on' notification option, (5) Functionality: Connect to support team or AI chatbot, Auto-responses for common queries, Route to specific departments, Collect user info before starting, Show business hours. Balance helpfulness with non-intrusiveness. Allow easy dismissal. Track chat-to-conversion rates.",Support & Engagement,"Lovable, Replit, ChatGPT, v0, Bolt",Strategy,"Implements live chat that can increase conversions by 20% and improve customer satisfaction. Instant support reduces friction and abandonment. Popular in SaaS, e-commerce, and service industries for real-time assistance.",✨ Award-Winning Homepage Designs
Test suite generation,"Write comprehensive tests for [component/function]:
- Unit tests for all functions
- Integration tests for user flows
- Edge cases and error scenarios
- Accessibility tests
- Performance tests

Use Jest and React Testing Library. Aim for 80%+ coverage.",Testing,"Cursor, Replit, Windsurf",Training Wheels,Comprehensive testing prompt. Specify testing framework and coverage goals. Generate tests incrementally for complex features.,💎 UI/UX Excellence
Creating a trust-building homepage with comprehensive credibility elements,"Design a homepage that maximizes trust and credibility through strategic placement of trust elements. Include: (1) Trust badges and security certifications in the header or near CTAs, (2) A dedicated testimonial section with authentic customer photos, names, and specific outcomes (not generic praise), (3) Prominent display of award logos (Awwwards, CSS Design Awards, Webby) in the footer or sidebar, (4) Real-time social proof like 'Join 50,000+ users' or live activity feed, (5) Case study previews with measurable results, (6) Media mentions or 'As Featured In' section, (7) Money-back guarantee or risk-reversal statement, (8) About Us preview with team photos for humanization. Use review stars at enlarged sizes (150%+) for visibility. Maintain consistent branding throughout with cohesive colors, logos, and typography.",Trust & Credibility,"Lovable, Replit, ChatGPT, Cursor, v0",Strategy,Implements comprehensive trust-building strategies proven to reduce friction and increase conversions by 33%+ (RubberStamps.net case study). Combines multiple credibility signals for maximum impact based on conversion optimization research.,✨ Award-Winning Homepage Designs
Building trust through social proof elements,"Design a comprehensive social proof strategy for [product/service] funnel including:

1. Testimonial framework:
   - Structure for collecting high-impact testimonials
   - 5 testimonial templates for different objections
   - Placement strategy across funnel stages

2. Trust badges and certifications:
   - Relevant industry credentials to display
   - Security and guarantee seals
   - Media mentions and awards

3. Real-time social proof:
   - Live visitor/purchase notifications
   - User-generated content displays
   - Review aggregation and display

4. Case studies:
   - 3 detailed case study outlines
   - Measurable results and ROI focus

Provide implementation code snippets and design mockups for each element. Prioritize by impact on conversion rates.",Trust Building,"ChatGPT, Lovable, Replit, Proof API",Strategy,Creates a multi-layered trust-building framework that addresses different trust barriers. Combines static and dynamic social proof for maximum credibility. Essential for increasing conversion rates across all funnel stages.,✨ Award-Winning Homepage Designs
Building a homepage with variable fonts and dynamic typography,"Design a homepage leveraging variable fonts for dynamic, responsive typography. Variable font implementation: (1) Font selection: Choose variable font (Google Fonts variable or custom), Verify browser support (90%+ as of 2025), Include fallback fonts, Common variable fonts: Inter, Roboto Flex, Source Sans Variable, (2) Variable axes: Weight (wght): 100-900, Width (wdth): 75-125, Optical size (opsz): 8-144, Custom axes depending on font, (3) Dynamic applications: Headings that adjust weight on viewport size, Text that responds to user interaction (hover weight change), Animated weight transitions for emphasis, Responsive optical sizing based on font size, Width adjustments for better fit on mobile, (4) Implementation: Use font-variation-settings CSS property, Animate with transitions or keyframes, Respond to viewport with CSS clamp() or media queries, Fine-tune tracking and line-height with variable fonts, (5) Performance benefits: Single font file instead of multiple weights, Reduce file size compared to traditional font families, Faster loading and better performance. Create unique typographic experiences. Test thoroughly across browsers. Balance creativity with readability. Demonstrate technical sophistication.",Typography & Innovation,"Lovable, Replit, ChatGPT, Cursor, v0",Design,"Implements cutting-edge variable font technology for dynamic, efficient typography. Variable fonts reduce load times while enabling creative effects. Shows technical expertise and aligns with modern performance optimization.",✨ Award-Winning Homepage Designs
Optimizing typography for maximum readability and hierarchy,"Create a typography system that ensures optimal readability and establishes clear hierarchy. Specifications: (1) Heading hierarchy: H1 (40-48px, bold, 1.2 line-height), H2 (32-36px), H3 (24-28px), H4 (20-22px), (2) Body text: 16-18px with 1.6-1.8 line-height for comfortable reading, (3) Font pairing: Combine serif headlines (Georgia, Playfair Display) with sans-serif body (Inter, Roboto) or vice versa, (4) Maximum line length: 60-75 characters for optimal readability, (5) Paragraph spacing: 1.5em between paragraphs, (6) Use font weights for emphasis: bold (700) for headings, medium (500) for subheadings, regular (400) for body, (7) Ensure mobile typography scales proportionally (reduce by 15-20% on mobile). Implement responsive typography using clamp() or fluid type scales. Maintain consistent rhythm with modular scale (1.25 or 1.333 ratio).",Typography & Readability,"Lovable, Replit, ChatGPT, v0, Bolt",Design,"Creates accessible, readable typography systems that improve comprehension and user experience. Award-winning sites typically use 18-29px for headings with carefully calculated line heights. Based on typography best practices from top design awards.",🎨 Visual Design & Modern Aesthetics
Rapid UI prototyping with specific audience,"Create a dashboard for a health tracking app for college students. Use colorful, modern colors and fonts. Include sections for daily steps, water intake, sleep hours, and mood tracking. Make it responsive and visually engaging.",UI/UX Design,"Lovable, Bolt.new, v0",No Training Wheels,High-level vibe prompt focusing on aesthetics and user experience. Best for initial prototypes where you want AI to make design decisions.,🎨 Visual Design & Modern Aesthetics
Emotion-driven UI design,"A cozy landing page for a mental health app. Inviting, soft colors (pastels), comforting tone. Include hero section with calming imagery, feature cards with icons, testimonials section, and gentle call-to-action. Typography should be easy to read.",UI/UX Design,"Lovable, Bolt.new, v0",No Training Wheels,Vibe design prompt focusing on emotional outcomes. Use when the feeling/atmosphere is more important than specific technical requirements.,✨ Award-Winning Homepage Designs
Building design system,"Generate a reusable UI component library with:
- Button variants (primary, secondary, outline, ghost)
- Input fields with validation states
- Cards with different layouts
- Modal/Dialog components
- Toast notifications
- Loading spinners and skeletons

Use Tailwind CSS or styled-components. Include TypeScript types.",UI/UX Design,"Cursor, Lovable, Bolt.new",Training Wheels,"Design system creation prompt. Build incrementally, starting with basic components before adding variants.",💎 UI/UX Excellence
Dark mode implementation,"Add dark mode support:
- CSS variables for colors
- Toggle switch in header
- Persist user preference in localStorage
- System preference detection
- Smooth transition between modes

Ensure all colors meet WCAG contrast ratios.",UI/UX Design,All tools,No Training Wheels,"Dark mode with accessibility considerations. Specify color system (CSS variables, Tailwind dark mode, etc.).",🎨 Visual Design & Modern Aesthetics
Image carousel,"Create a carousel/slider component:
- Auto-play with pause on hover
- Navigation arrows and dots
- Touch/swipe support
- Lazy load images
- Accessible keyboard navigation
- Responsive breakpoints

Use Swiper or build custom.",UI/UX Design,All tools,No Training Wheels,Carousel with accessibility. Consider using a library for cross-device compatibility.,🚀 Interactive & Immersive Elements
Timeline visualization,"Build a timeline component:
- Chronological event display
- Vertical or horizontal layout
- Expandable event details
- Filter by category/date
- Smooth scroll to events
- Milestone markers

Responsive for all devices.",UI/UX Design,All tools,No Training Wheels,Timeline component for displaying chronological data. Use CSS Grid or Flexbox for layout.,🎨 Visual Design & Modern Aesthetics
Breadcrumb navigation,"Implement breadcrumb navigation:
- Show current page hierarchy
- Clickable parent pages
- Schema markup for SEO
- Truncate long paths on mobile
- Last item not clickable (current page)

Generate dynamically from route.",UI/UX Design,All tools,No Training Wheels,Breadcrumbs for site navigation. Include structured data for search engine rich results.,💎 UI/UX Excellence
Image gallery,"Add image gallery with lightbox:
- Grid of thumbnails
- Click to open fullscreen
- Navigation arrows in lightbox
- Zoom functionality
- Close on escape or outside click
- Keyboard navigation

Lazy load images for performance.",UI/UX Design,All tools,No Training Wheels,Image gallery with lightbox. Consider using a library like PhotoSwipe for advanced features.,💎 UI/UX Excellence
Color selection tool,"Create a color picker component:
- Visual color selector (hue, saturation, lightness)
- HEX, RGB, HSL input fields
- Preset color swatches
- Recent colors history
- Copy to clipboard
- Opacity slider

Accessible with keyboard navigation.",UI/UX Design,All tools,Training Wheels,Color picker for design tools. Consider using a library like react-color for full features.,🎨 Visual Design & Modern Aesthetics
Print optimization,"Add print stylesheet:
- Optimize layout for printing
- Hide navigation and footer
- Adjust colors for grayscale
- Page breaks at logical points
- Show URLs for links
- Expand collapsed content

Test in print preview.",UI/UX Design,All tools,No Training Wheels,Print-friendly styling. Use @media print CSS queries for print-specific styles.,🎨 Visual Design & Modern Aesthetics
Progress tracking,"Create a progress tracker:
- Multi-step completion tracking
- Visual progress bar/circle
- Completed steps checkmark
- Lock future steps until current complete
- Save progress to resume later
- Celebration on completion

Store progress in database.",UI/UX Design,All tools,Training Wheels,"Progress tracking for multi-step processes. Use for onboarding, courses, or checklists.",🎨 Visual Design & Modern Aesthetics
Product tour,"Create a tour/onboarding overlay:
- Step-by-step product tour
- Highlight UI elements
- Tooltips with instructions
- Skip tour option
- Remember if completed
- Trigger on first visit

Use Shepherd.js or Intro.js.",UI/UX Design,All tools,No Training Wheels,Interactive product tour. Guide new users through key features with highlighted tooltips.,💎 UI/UX Excellence
Before/after comparison,"Build a comparison slider:
- Before/after image comparison
- Draggable slider to reveal
- Touch support for mobile
- Labels for before/after
- Smooth animations
- Lazy load images

Use react-compare-image or build custom.",UI/UX Design,All tools,No Training Wheels,Image comparison slider. Great for showcasing transformations or changes.,🚀 Interactive & Immersive Elements
Tooltips and popovers,"Add tooltip/popover system:
- Show on hover or click
- Position intelligently (avoid overflow)
- Delay before showing
- Close on outside click
- Arrow pointer to anchor
- Accessible with focus trap

Use Tippy.js or Radix UI.",UI/UX Design,All tools,No Training Wheels,Tooltip system for contextual help. Ensure accessibility with proper ARIA labels.,🚀 Interactive & Immersive Elements
Loading states,"Implement skeleton screens:
- Loading placeholders for content
- Match actual content structure
- Subtle shimmer animation
- Replace with real content on load
- Different skeletons for content types
- Improve perceived performance

Better UX than spinners for content areas.",UI/UX Design,All tools,No Training Wheels,Skeleton screens for better loading UX. Show content structure while data loads.,🚀 Interactive & Immersive Elements
Creating immersive storytelling homepage with scroll-triggered narrative,"Design a narrative-driven homepage that tells a compelling brand story through scroll interactions. Story structure: (1) Opening scene: Full-screen hero with bold statement or question, cinematic entrance animation, (2) Chapter-based sections: 4-6 distinct sections each telling part of the story, Full-screen or near-full-screen sections with scroll snap, Unique visual for each chapter (image, video, or illustration), (3) Scroll-triggered reveals: Text and images fade in as user scrolls, Parallax backgrounds at different speeds, Numbers counting up when in viewport, (4) Progressive disclosure: Information revealed gradually to maintain engagement, 'Show More' expansions for deeper content, (5) Story elements: Problem > Solution > Transformation narrative arc, Emotional connection through authentic imagery, Strong conclusion with CTA as the story resolution. Use smooth scrolling and Intersection Observer API for triggers. Optimize for mobile with adapted vertical storytelling.",UX/UI Strategy,"Lovable, Replit, ChatGPT, v0, Bolt",Strategy,Creates engaging narrative experiences that increase time-on-page by 50%+ and emotional connection with brands. Storytelling is a key differentiator in Awwwards winners like Nomadic Tribe. Based on immersive design patterns.,✨ Award-Winning Homepage Designs
Designing a homepage with gradient mesh and modern color transitions,"Create a visually stunning homepage utilizing gradient meshes and smooth color transitions. Gradient implementation: (1) Gradient types: Linear gradients for backgrounds, Radial gradients for focal points, Conic gradients for dynamic effects, Mesh gradients for complex multi-color blends, Animated gradients with CSS or canvas, (2) Color strategy: 2-4 colors maximum per gradient, Use brand colors as gradient base, Add complementary colors for depth, Consider color psychology, Ensure text readability on gradients (overlay or high contrast), (3) Application areas: Hero section background, Section dividers with gradient overlays, Button hover effects, Card backgrounds with subtle gradients, Text gradients for headlines, Border gradients for modern accents, (4) Animation effects: Gradient position shifts on scroll, Rotating gradient angles, Color value interpolation, Morphing between gradient states, (5) Technical implementation: Use CSS gradients for performance, Canvas or WebGL for complex effects, Optimize gradient stops (3-5 stops ideal), Test on different displays (gradients can look different), Provide fallback solid colors. Create depth without overwhelming content. Modern trend in 2025 web design. Reference: Stripe's website, modern SaaS homepages.",Visual Design & Color,"Lovable, Replit, ChatGPT, v0, Bolt",Design,"Implements modern gradient aesthetics that create depth and visual interest. Gradient meshes are dominating 2025 design trends and appear in many award-winning sites. Creates dynamic, memorable visual experiences.",✨ Award-Winning Homepage Designs
Creating a geometric pattern and shape-based homepage design,"Design a modern homepage utilizing geometric shapes and patterns as core visual elements. Design system: (1) Shape library: Define 3-5 signature shapes (circles, triangles, hexagons, custom shapes), Use shapes as: Section dividers, Image masks/frames, Background patterns, Decorative accents, (2) Pattern application: Repeating geometric patterns as backgrounds, Gradient overlays on shapes, Shapes that respond to scroll or mouse position, Morphing shape transitions, (3) Color blocking: Use shapes for color section separation, Overlapping shapes with transparency, Contrast between shape colors and content, (4) Content integration: Text wrapped around custom shape paths, Images clipped to geometric shapes, Icons designed with consistent geometric style, (5) Animation: Shapes that float or rotate subtly, Entrance animations for shapes on scroll, Hover effects with shape transformations. Maintain balance - shapes should enhance, not distract from content. Use CSS clip-path and SVG for shapes. Create consistent shape system throughout design.",Visual Design & Graphics,"Lovable, Replit, ChatGPT, v0, Bolt",Design,Implements contemporary geometric design trends seen in award-winning sites. Geometric patterns add visual interest and modernity while maintaining professionalism. Popular in CSS Design Awards for innovative visual approaches.,✨ Award-Winning Homepage Designs
Implementing an editorial-style homepage with magazine layout aesthetics,"Design a content-rich, editorial-style homepage inspired by high-end digital magazines. Layout principles: (1) Asymmetrical grid: Mix of full-width, half-width, and offset content blocks, Featured content in large hero card, Secondary content in varied-size cards, (2) Typography emphasis: Large, serif headlines (48-64px) for editorial feel, Generous line spacing (1.8-2.0), Dropcaps for article intros, Pull quotes highlighted in larger font, (3) Rich media: High-quality editorial photography, Full-bleed images that break grid, Image galleries with lightbox, Inline videos or GIFs, (4) Content hierarchy: Featured story at top, Category sections (Latest, Trending, Editor's Picks), Tag-based filtering or navigation, Author bylines with photos, Publication dates, (5) White space: Generous margins and padding, Content max-width 720px for readability. Use serif fonts like Playfair Display or Lora for sophistication. Include subtle hover effects on article cards.",Visual Design & Layout,"Lovable, Replit, ChatGPT, v0, Bolt",Design,"Creates sophisticated, content-forward homepages suitable for blogs, media sites, or thought-leadership brands. Editorial design elevates perceived quality and authority, commonly seen in CSS Design Award winners for content sites.",✨ Award-Winning Homepage Designs
Building a dark mode homepage with elegant light/dark theme switching,"Design a stunning dark mode homepage with smooth theme switching capability. Dark mode specifications: (1) Color palette: Background: #0F172A or #1E293B (dark navy), Text: #F1F5F9 or #E2E8F0 (light gray, not pure white), Accents: Vibrant colors (blue #3B82F6, purple #A855F7, green #10B981), (2) Contrast considerations: Ensure 4.5:1 contrast ratio for readability, Reduce pure white to prevent eye strain, Use subtle borders (#334155) instead of shadows, (3) Theme toggle: Sun/moon icon toggle in header, Smooth transition animation (300ms) on theme change, Remember user preference with localStorage, Respect prefers-color-scheme media query, (4) Adapted elements: Reduce shadow intensity in dark mode, Adjust image brightness (-10% to -20%), Invert icon colors automatically, Lighten card backgrounds (#1E293B), (5) Accessibility: Test contrast in both modes, Ensure all interactive elements visible in both themes. Popular in award-winning portfolio sites like David Langarica.",Visual Design & UX,"Lovable, Replit, ChatGPT, v0, Bolt",Design,Implements sophisticated dark mode design that's increasingly popular in award-winning sites. Dark mode reduces eye strain and is preferred by 70%+ of users in certain contexts. Shows design sophistication and user consideration.,✨ Award-Winning Homepage Designs
Designing a homepage with glassmorphism and blur effects,"Create a modern homepage utilizing glassmorphism design trend with frosted glass aesthetics. Glassmorphism implementation: (1) Core glass effect: Semi-transparent background (rgba with 10-30% opacity), Backdrop blur filter (10-30px), Subtle border (1px with 20-40% opacity), Light background highlights on edges, Optional subtle shadow for depth, (2) Element application: Card components, Navigation header, Modal overlays, Feature sections, Button hover states, (3) Color considerations: Works best with gradient backgrounds, Use light colors for glass elements on dark backgrounds, Use dark glass on light/colorful backgrounds, Ensure sufficient text contrast (minimum 4.5:1), (4) Layering strategy: Create depth with multiple glass layers, Vary opacity levels for hierarchy, Use blur intensity to distinguish importance, Combine with regular solid elements for balance, (5) Performance: Use backdrop-filter (check browser support), Provide fallback for unsupported browsers (solid colors), Optimize number of blur effects for performance, Test on lower-end devices. Popular in 2025 design trends. Creates modern, elegant aesthetic. Use sparingly for maximum impact. Reference: Apple's design language, macOS Big Sur aesthetics.",Visual Design Trends,"Lovable, Replit, ChatGPT, v0, Bolt",Design,Implements trendy glassmorphism aesthetic that creates depth and sophistication. Glass effects are popular in modern UI design and award-winning sites. Creates visual interest while maintaining content readability.,✨ Award-Winning Homepage Designs
